証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
6570,Kyowa Corporation,Consumer Cyclical,208.13,1.23,18.5,,2.02,-0.56,1.23,2.35,0.9,19.39,12.06,12.18,12.26,14.54,94.72,8.48,7.75,7.42,5.76,24.09,14.58,17.16,9.08,15.87,9.4,6.59,4.95,46.7,51.78,5363805000.0
6571,"QB Net Holdings Co.,Ltd.",Consumer Cyclical,171.92,6.36,21.34,,18.12,24.23,24.76,24.58,22.37,25.01,29.42,27.3,27.37,27.24,18.17,6.6,8.54,9.4,6.8,3.17,8.84,10.61,4.96,6.4,6.26,6.96,4.45,48.82,22.39,5289000000.0
6572,"OPEN Group, Inc.",Technology,147.11,2.47,24.24,,4.33,-0.46,4.0,2.44,2.62,6.1,2.32,6.96,5.17,5.13,63.88,12.33,9.05,8.44,5.13,12.78,17.17,3.49,5.49,17.45,7.17,2.04,0.39,71.99,69.49,10312431000.0
6573,CRAVIA Inc.,Communication Services,18.0,0.0,,,-15.97,-15.13,-32.49,-29.6,-21.2,-15.62,-14.79,-32.05,-28.65,-20.82,-1.98,-51.66,-66.29,-147.7,-49.88,19.91,57.43,-35.3,-51.25,-61.05,-63.07,-152.74,-82.03,80.23,10.27,89161000.0
6574,Convano Inc.,Consumer Cyclical,568.44,0.9,,,0.27,0.48,0.16,0.49,0.3,0.29,0.59,0.22,0.64,0.37,17.59,,4.16,-2.26,-1.54,,25.18,11.1,,,4.01,-9.36,-1.71,83.6,44.71,806173000.0
6577,"Bestone.Com Co.,Ltd",Consumer Cyclical,21.02,3.61,,,13.75,5.68,-6.88,,4.18,13.75,5.68,-6.88,,4.18,0.0,,8.41,1.47,-75.95,,135.6,439.95,,,14.24,2.62,,43.89,28.7,1602898000.0
6578,"CORREC Co., Ltd.",Industrials,33.44,1.96,84.57,,2.37,4.81,4.24,-1.26,3.81,2.66,5.22,5.24,-1.23,4.37,12.59,0.94,3.41,3.04,6.54,3.36,64.22,-4.36,5.62,29.27,2.51,5.2,16.98,56.74,80.01,1460042000.0
6579,"logly,Inc.",Communication Services,13.42,0.0,,,-8.38,-10.89,-9.22,15.28,-9.5,-8.28,-9.79,-8.39,15.47,-8.82,-7.41,-3.16,-10.1,-0.11,4.86,-11.3,-21.87,-23.64,-10.7,-93.53,-22.18,-0.41,9.22,69.73,24.32,459079000.0
6580,"Writeup Co.,Ltd.",Industrials,43.39,2.21,17.34,,0.81,8.22,6.39,-1.51,5.14,2.31,9.57,8.07,-0.03,6.65,33.27,13.31,18.0,11.52,6.45,-11.85,44.22,24.78,8.91,41.17,15.45,8.71,4.45,99.97,84.44,2581754000.0
6584,"Sanoh Industrial Co., Ltd.",Consumer Cyclical,278.23,3.63,18.26,,-30.95,-3.42,9.17,-2.07,-8.4,5.31,30.49,36.44,20.41,24.08,289.53,2.56,3.05,5.14,0.96,-0.09,1.74,13.89,4.18,5.49,3.0,7.58,-0.26,47.29,14.36,24519000000.0
6586,Makita Corporation,Industrials,13521.78,3.98,17.49,,7.57,9.6,17.53,3.29,11.57,7.57,9.6,17.53,3.29,11.57,0.0,13.47,14.21,8.92,3.69,3.25,1.58,-3.05,7.7,10.87,8.35,5.08,1.43,98.33,36.52,291071000000.0
6588,Toshiba Tec Corporation,Technology,1492.13,1.44,11.35,,-6.47,5.32,2.38,2.75,0.41,2.88,16.68,13.01,10.12,10.86,158.14,2.52,3.51,2.89,3.15,-1.34,5.27,7.32,-14.3,-21.51,11.36,-7.36,-45.06,82.6,38.19,39513000000.0
6590,Shibaura Mechatronics Corporation,Technology,2389.26,1.69,21.39,,-1.09,1.7,1.63,1.41,0.75,1.94,2.92,2.51,1.91,2.46,77.67,17.34,17.47,17.3,17.88,8.8,19.77,10.75,17.82,26.69,18.67,18.68,22.85,86.09,39.5,21345000000.0
6592,"Mabuchi Motor Co., Ltd.",Consumer Cyclical,3960.17,4.22,13.58,,8.93,10.13,8.02,2.58,9.03,8.93,10.13,8.02,2.58,9.03,0.0,12.71,11.03,8.7,6.91,2.14,9.82,14.01,5.7,9.96,3.66,3.62,2.65,95.04,29.83,143405000000.0
6594,Nidec Corporation,Industrials,30434.53,1.92,25.3,,4.46,6.32,-0.34,-0.66,3.48,9.35,10.54,4.71,3.12,8.2,66.51,9.13,6.9,4.46,8.88,11.11,4.65,16.92,6.97,7.79,4.51,1.84,7.22,71.38,20.57,247525000000.0
6597,HPC SYSTEMS Inc.,Technology,132.84,1.05,28.78,,,30.32,-22.0,-9.15,4.16,,30.68,-21.02,-8.75,4.83,-1.73,,6.13,2.92,10.85,,-21.56,47.03,,,4.39,4.34,,23.69,29.12,1834204000.0
6599,"Ebrains, Inc.",Technology,56.81,1.54,15.6,,9.96,6.68,8.74,3.98,8.46,10.05,6.73,8.9,4.35,8.56,1.1,13.28,11.54,12.19,15.41,-0.8,0.96,-6.36,6.88,12.28,6.4,7.31,10.19,,23.08,2245601000.0
6612,BALMUDA Inc.,Consumer Cyclical,50.14,0.0,,,-19.25,22.9,-3.83,4.61,-0.06,-11.51,26.89,4.91,16.75,6.76,41.88,-8.56,0.1,-10.57,0.43,-18.83,-4.22,-26.05,-24.27,-29.89,0.17,-27.03,0.21,80.72,32.69,673000000.0
6613,"QD Laser, Inc.",Technology,824.67,0.0,635.81,,-1.47,-0.82,-0.72,-0.65,-1.0,-0.58,-0.61,-0.54,-0.62,-0.58,-72.8,-23.76,-34.05,-48.42,-48.02,4.88,4.92,7.59,-6.24,-13.12,-8.58,-10.71,-12.58,87.36,42.13,2741356000.0
6614,"Shikino High-Tech CO.,LTD.",Technology,37.97,1.74,5.92,,-26.8,-0.14,4.99,-4.16,-7.32,-25.3,5.2,13.04,1.59,-2.35,52.84,-2.62,0.86,8.52,10.15,-0.47,-8.12,9.5,-3.27,-3.48,0.3,15.54,19.02,66.81,14.82,218367000.0
6615,"UMC Electronics Co., Ltd.",Technology,67.82,4.12,28.42,,-17.75,107.54,66.47,-41.52,52.09,38.13,152.65,127.7,5.32,106.16,74.68,1.07,1.63,1.56,1.37,-14.56,0.49,-18.81,0.63,0.8,-7.73,3.69,2.31,34.64,5.79,10599000000.0
6616,Torex Semiconductor Ltd.,Technology,188.22,3.15,16.26,,4.94,-2.96,-14.14,-17.64,-4.05,16.62,17.85,10.24,6.88,14.9,141.65,4.33,-2.64,-6.91,12.44,4.66,-6.97,-19.42,3.13,4.5,-2.58,-5.77,8.97,61.86,25.41,9629015000.0
6617,"Takaoka Toko Co., Ltd.",Industrials,1021.19,2.05,15.92,,4.65,1.01,3.5,0.15,3.05,10.56,4.93,5.81,2.2,7.1,58.45,8.71,5.72,7.68,4.96,5.13,-0.7,9.85,9.81,12.84,6.53,9.51,6.69,97.59,25.54,16564000000.0
6619,W-SCOPE Corporation,Industrials,87.47,0.0,2.43,,-4.46,-276.08,-246.96,-50.39,-175.83,8.52,45.82,75.42,25.88,43.25,427.44,-135.51,-3.25,17.36,6.33,-88.31,-31.16,50.5,-10.03,-10.08,-1.75,10.49,3.99,84.71,-109.5,271000000.0
6620,"Miyakoshi Holdings, Inc.",Financial Services,272.9,0.0,,,-4.69,0.48,2.57,1.54,-0.55,-3.32,1.73,2.73,2.31,0.38,12.3,-85.17,27.57,37.03,35.41,-62.04,-9.41,-13.8,-1.57,-2.93,0.79,1.26,1.38,,49.36,11359000000.0
6622,DAIHEN Corporation,Industrials,2806.85,1.06,20.1,,-2.93,5.44,-5.87,-4.43,-1.12,1.76,8.55,-3.2,-2.58,2.37,73.18,7.9,7.15,8.03,8.94,5.02,20.05,1.77,5.66,6.61,5.67,6.03,8.48,67.73,28.82,34160000000.0
6625,JALCO Holdings Inc.,Technology,407.99,4.86,22.61,,-21.2,-13.27,-7.95,-12.04,-14.14,21.05,1.68,21.09,8.72,14.61,409.86,28.69,36.87,49.95,65.06,147.79,-46.16,156.63,4.09,4.47,0.51,7.09,4.58,19.39,35.89,7052808000.0
6626,SEMITEC Corporation,Technology,229.92,2.45,8.68,,12.64,22.58,16.23,20.89,17.15,12.64,22.58,16.23,20.89,17.15,0.0,13.89,15.46,15.75,15.83,0.49,11.73,-2.4,10.31,16.9,11.57,10.01,12.82,92.08,37.62,9619214000.0
6627,"Tera Probe, Inc.",Technology,943.36,1.04,19.68,,-10.32,2.82,4.52,4.17,-0.99,21.35,18.52,19.43,18.05,19.77,103.29,21.3,18.73,20.3,20.59,12.5,4.82,6.6,9.05,11.41,10.58,11.62,10.17,61.19,28.21,14371741000.0
6629,"Techno Horizon Co.,Ltd.",Technology,129.65,3.48,5.27,,28.06,3.94,5.78,-15.28,12.59,30.95,6.56,10.56,-9.81,16.02,31.5,4.54,0.74,2.13,-1.21,1.49,4.12,11.1,7.1,8.68,4.48,3.05,-4.33,46.46,22.96,4594391000.0
6630,Ya-Man Ltd.,Consumer Defensive,430.82,1.15,29.27,,4.32,4.32,1.47,9.79,3.37,5.14,5.14,2.29,10.79,4.19,22.69,2.53,2.53,14.27,16.81,0.0,-41.76,5.01,1.55,3.81,1.44,15.93,17.91,99.59,56.77,14498000000.0
6632,JVCKENWOOD Corporation,Consumer Cyclical,1396.38,2.07,8.85,,8.01,4.81,8.71,7.73,7.18,24.18,22.52,23.76,19.05,23.49,69.61,5.83,5.86,5.09,6.59,-3.63,3.02,6.69,7.67,11.29,11.06,8.1,10.96,69.44,30.93,68220000000.0
6633,Cgs Holdings Inc.,Technology,30.12,3.15,29.08,,5.85,6.26,0.47,11.95,4.19,8.43,6.95,2.97,13.67,6.12,41.59,6.88,4.04,2.37,10.3,26.85,2.65,-13.47,8.31,48.02,2.81,1.52,10.52,,61.67,2780424000.0
6634,JN Group Inc.,Technology,32.36,0.0,,,-1.5,-11.25,-6.07,-9.54,-6.27,1.84,-10.9,-4.6,-9.04,-4.55,48.77,-6.28,-11.58,-24.41,15.49,67.22,145.79,-68.58,-2.37,-2.98,-5.94,-7.42,12.47,46.9,41.63,1470853000.0
6635,"Di-Nikko Engineering Co., Ltd.",Technology,44.37,2.39,11.93,,37.02,25.63,11.97,-17.92,24.87,57.76,39.32,22.0,-12.32,39.69,38.77,1.73,1.65,1.49,1.91,-5.15,-0.62,15.51,1.8,2.53,2.79,2.49,3.13,47.15,10.49,5379688000.0
6637,"Terasaki Electric Co.,Ltd.",Industrials,519.4,1.37,12.94,,-2.9,10.56,2.74,-4.01,3.47,2.25,16.03,7.35,-1.28,8.54,108.6,9.86,9.96,9.45,6.48,11.44,8.33,17.65,6.61,8.61,7.52,6.91,4.47,90.57,27.68,13929208000.0
6638,"Mimaki Engineering Co., Ltd.",Technology,556.08,2.8,8.24,,2.2,10.02,13.43,-3.7,8.55,8.31,14.14,17.2,0.88,13.22,41.52,11.26,10.85,7.25,6.01,-0.28,11.02,7.12,11.64,15.87,12.85,7.81,6.35,62.07,49.21,16365684000.0
6643,"Togami Electric Mfg. Co., Ltd.",Industrials,253.62,2.54,9.71,,6.04,3.76,2.53,2.84,4.11,9.56,11.09,8.47,5.9,9.71,57.65,12.19,12.19,10.08,7.1,11.2,3.43,7.76,10.81,15.29,10.76,8.91,6.35,97.72,25.38,7244780000.0
6644,"Osaki Electric Co., Ltd.",Technology,630.44,2.78,11.43,,5.45,6.42,4.18,-2.21,5.35,14.06,10.93,6.64,0.41,10.54,46.51,6.47,5.87,6.17,2.5,3.91,2.05,6.6,6.87,9.4,6.47,6.91,2.64,98.4,24.0,15920000000.0
6645,OMRON Corporation,Technology,11785.97,1.73,34.43,,0.66,0.58,-0.04,0.72,0.4,5.17,4.73,3.81,4.54,4.57,92.04,7.19,7.96,4.27,11.23,7.26,-12.63,-6.54,3.97,4.74,3.35,2.7,10.08,76.0,45.74,166541000000.0
6647,"Morio Denki Co., Ltd.",Industrials,46.98,1.69,7.29,,-3.91,-4.28,8.14,3.1,-0.02,0.97,-1.96,12.86,5.19,3.96,140.4,9.91,7.98,4.6,3.48,-6.23,23.69,-5.72,8.29,9.39,9.02,3.73,2.85,82.35,23.25,900986000.0
6648,Kawaden Corporation,Industrials,260.57,4.07,8.89,,15.62,4.09,-0.45,5.31,6.42,19.43,5.9,0.64,6.56,8.66,73.47,15.54,10.69,5.32,2.59,9.38,13.52,8.49,13.75,27.97,10.17,4.28,2.08,89.69,38.2,10837928000.0
6651,Nitto Kogyo Corporation,Industrials,1648.37,3.54,14.33,,11.13,11.31,7.47,2.28,9.97,11.13,11.31,7.47,2.28,9.97,0.0,7.89,7.27,7.45,5.57,6.01,14.92,9.55,7.75,10.19,7.16,6.73,5.06,84.12,27.36,35375000000.0
6652,IDEC Corporation,Industrials,1050.48,3.64,27.06,,1.97,0.78,2.79,3.89,1.85,7.08,10.71,5.24,6.67,7.68,70.56,8.39,5.42,8.63,16.77,8.29,-7.33,-13.3,3.86,4.77,2.16,4.62,12.0,75.25,44.33,18172000000.0
6653,"Seiko Electric Co., Ltd.",Technology,274.84,2.93,10.91,,7.69,-0.22,8.14,-2.28,5.2,13.86,1.23,11.61,-0.29,8.9,64.02,8.34,6.93,6.0,5.77,7.84,7.49,8.25,8.94,10.78,7.07,6.54,5.76,95.2,18.97,3260000000.0
6654,"Fuji Electric Industry Co., Ltd.",Industrials,55.7,2.98,26.36,,5.58,5.96,5.81,3.96,5.78,7.6,8.02,7.12,6.75,7.58,23.58,,7.69,10.73,9.47,,5.48,0.44,,,2.0,2.61,2.39,98.88,30.9,0.0
6656,inspec Inc.,Technology,30.42,0.0,39.52,,-19.44,15.69,0.12,-23.76,-1.21,-17.08,17.88,3.47,-19.37,1.42,31.69,4.37,4.86,-13.99,4.65,10.78,34.13,-27.16,3.14,3.72,4.54,-7.28,2.81,39.3,34.58,508538000.0
6658,"Shirai Electronics Industrial Co., Ltd.",Technology,67.33,4.47,5.13,,20.08,30.54,42.95,39.91,31.19,29.18,38.78,47.01,46.66,38.32,20.36,6.97,8.78,8.0,8.62,-0.75,1.75,-12.27,11.95,12.77,16.66,12.7,17.92,79.13,18.6,826000000.0
6659,"Media Links Co.,Ltd.",Technology,36.19,0.0,,,-13.11,-23.63,-14.94,-22.52,-17.23,-11.85,-21.13,-11.55,-21.96,-14.84,-17.25,-37.5,-18.74,-5.31,-6.72,-16.22,-10.34,23.35,-34.02,-48.57,-17.18,-5.14,-6.89,97.24,45.07,771875000.0
6662,"Ubiteq, Inc.",Technology,33.43,0.0,67.46,,-17.45,-6.02,-9.45,,-10.97,-10.72,-2.7,-6.61,,-6.68,-76.26,,-24.21,-23.03,-17.73,,3.15,-15.86,,,-10.76,-8.71,,,40.41,1434391000.0
6663,"Taiyo Technolex Co.,Ltd.",Technology,18.53,0.98,7.61,,-5.87,11.45,-10.97,7.87,-1.8,-3.33,13.42,-1.48,12.58,2.87,-233.95,3.8,-1.54,-4.16,-0.77,6.6,3.16,-5.9,3.46,5.65,-2.74,-4.49,-0.63,77.23,29.96,1257565000.0
6664,"Optoelectronics Co., Ltd.",Technology,40.05,0.0,,,-2.66,-10.61,-42.56,-5.24,-18.61,1.26,-6.28,-37.22,-3.08,-14.08,75.79,-3.76,-8.39,-6.72,4.38,6.78,-7.79,-4.62,-2.85,-4.44,-4.96,-5.73,-0.67,66.12,36.66,3734650000.0
6666,River Eletec Corporation,Technology,65.02,1.25,,,-1.91,-12.77,4.76,4.41,-3.31,4.85,2.86,14.97,19.29,7.56,251.26,-1.22,-1.33,0.16,16.41,1.51,4.48,-20.44,0.28,0.4,-1.08,0.31,9.87,49.99,21.45,2814990000.0
6668,"Adtec Plasma Technology Co., Ltd.",Industrials,312.88,0.91,19.1,,9.83,6.66,-10.95,-10.49,1.85,10.75,9.69,-4.8,-5.06,5.21,-29.5,38.03,37.2,17.98,22.18,12.23,-9.6,1.31,14.67,21.74,12.5,6.46,10.62,56.58,38.03,8284000000.0
6674,GS Yuasa Corporation,Consumer Cyclical,5116.29,1.98,12.22,,-0.31,-5.27,4.73,-0.63,-0.28,9.68,7.68,12.35,5.54,9.9,111.16,9.88,8.62,7.39,6.08,4.94,3.1,8.72,9.47,10.25,7.98,9.12,6.43,76.38,25.46,36747000000.0
6675,"SAXA, Inc.",Technology,375.19,2.19,27.14,,0.58,5.91,6.95,2.97,4.48,6.38,8.71,9.96,4.61,8.35,51.09,4.74,7.57,8.17,6.47,0.08,7.61,9.72,3.85,5.24,9.05,8.61,6.32,97.02,29.83,10394000000.0
6676,Buffalo Inc.,Technology,748.69,1.98,9.86,,4.4,17.55,4.13,-4.69,8.69,4.95,19.67,8.85,0.52,11.16,25.03,7.87,6.18,1.78,3.17,-18.03,-1.83,2.24,16.12,41.43,12.73,2.66,5.4,96.78,25.9,27215000000.0
6677,"SK-Electronics CO.,LTD.",Technology,331.14,4.77,11.38,,0.59,-0.78,8.55,17.41,2.79,15.5,11.75,16.14,18.94,14.46,83.29,13.21,11.89,17.0,15.34,13.45,-8.49,13.01,7.92,10.99,6.97,9.7,9.51,,23.7,9684641000.0
6678,"Techno Medica Co., Ltd.",Healthcare,136.06,4.58,13.15,,7.79,6.95,7.65,5.5,7.46,8.09,7.18,8.4,6.52,7.89,5.3,14.85,13.13,17.89,17.61,13.43,-3.68,9.78,8.13,21.56,6.88,9.65,6.95,,46.66,8976227000.0
6694,Zoom Corporation,Technology,36.46,3.84,,,4.34,9.49,16.13,-23.42,9.99,16.51,16.03,22.41,-16.09,18.32,47.51,-0.33,2.94,3.2,5.02,-3.51,0.95,35.25,-0.57,-0.75,1.14,2.11,3.8,48.71,37.11,3091856000.0
6696,TRaaS On Product Inc.,Technology,15.06,0.0,,,-4.4,-1.14,-8.52,-0.09,-4.69,-1.98,1.86,-4.82,1.2,-1.65,-12.4,-7.44,1.28,-22.39,-1.3,18.09,32.33,-37.37,-7.93,-17.84,0.39,-15.08,-1.35,68.14,45.71,279254000.0
6699,"Diamond Electric Holdings Co., Ltd.",Consumer Cyclical,58.42,5.11,24.84,,-47.47,37.73,-32.97,-111.39,-14.24,-23.61,61.42,36.32,-59.76,24.71,42.75,2.51,2.48,0.25,-1.3,5.5,-1.72,2.45,1.1,1.26,1.47,1.23,-2.78,27.2,16.06,6472000000.0
6701,NEC Corporation,Technology,64314.42,0.88,23.91,,5.39,3.01,2.67,1.16,3.69,6.82,5.36,4.22,2.37,5.47,33.8,10.05,7.49,5.41,5.14,4.65,-1.55,4.96,9.79,13.46,8.09,7.28,6.44,79.69,32.97,687495000000.0
6702,Fujitsu Limited,Technology,69628.25,1.47,23.05,,3.29,2.05,1.63,0.75,2.32,4.86,4.36,4.44,3.16,4.55,49.5,9.94,7.47,4.29,9.04,-1.33,2.1,-6.38,12.17,15.37,10.22,11.65,12.29,93.89,35.59,450366000000.0
6703,"Oki Electric Industry Co., Ltd.",Technology,2251.05,2.53,10.46,,2.71,9.96,3.44,-8.74,5.37,9.17,17.44,10.98,-1.4,12.53,60.68,4.47,4.12,4.43,0.65,-6.81,7.25,14.29,5.5,6.33,6.28,10.48,9.39,66.19,24.94,35897000000.0
6706,"DKK Co., Ltd.",Technology,287.31,3.23,15.27,,-14.15,-12.97,-6.85,-5.7,-11.32,-8.6,-6.35,-2.62,-3.03,-5.86,-110.03,3.44,2.87,-6.19,-4.75,8.79,12.88,-9.28,1.8,2.48,1.06,-3.54,-3.58,86.86,20.29,11644000000.0
6707,"Sanken Electric Co., Ltd.",Technology,1331.17,0.0,2.05,,-10.38,-20.99,-11.15,-2.92,-14.17,-6.68,-7.29,11.66,14.42,-0.77,-15.85,-5.9,-3.11,8.31,11.61,-34.08,-48.3,4.36,-2.61,-3.16,-1.75,1.91,11.6,59.51,9.36,34840000000.0
6718,"Aiphone Co.,Ltd.",Technology,462.36,4.65,18.75,,-2.7,10.03,17.9,-17.15,8.41,4.69,12.36,19.59,-10.34,12.21,61.67,4.45,6.03,8.59,7.12,-0.53,3.23,16.14,2.9,4.4,4.56,6.06,4.38,99.34,42.09,23896000000.0
6721,Wintest Corp.,Technology,42.96,0.0,,,-18.2,-15.46,-13.0,-14.28,-15.55,-17.49,-15.42,-13.0,-14.28,-15.3,-1.48,-284.04,-259.85,-137.06,-329.74,2.87,2.37,93.73,-222.66,-262.35,-115.94,-30.58,-40.68,62.09,-114.44,82957000.0
6723,Renesas Electronics Corporation,Technology,58041.06,0.88,17.07,,5.5,2.94,6.33,6.74,4.92,7.8,5.87,8.56,8.26,7.41,35.14,15.23,16.54,26.59,28.26,-2.02,-8.23,-2.09,9.41,10.35,4.88,11.77,13.13,71.12,57.05,334498000000.0
6724,Seiko Epson Corporation,Technology,9936.46,2.62,54.66,,5.19,6.82,10.97,0.22,7.66,11.31,13.9,16.66,6.17,13.96,46.41,3.51,5.51,4.38,7.29,3.69,3.72,-1.23,1.66,2.28,5.14,4.25,7.31,76.22,35.43,295061000000.0
6727,"Wacom Co., Ltd.",Technology,1089.96,3.02,11.57,,7.7,6.7,13.9,-2.38,9.43,9.49,7.64,16.03,-0.97,11.05,14.82,12.17,8.83,5.94,1.79,-4.91,-2.62,5.38,25.21,43.22,18.12,10.9,3.33,88.75,37.58,16499000000.0
6728,"ULVAC, Inc.",Industrials,3377.75,2.2,19.76,,6.95,-0.8,-4.53,7.87,0.54,10.31,5.08,0.3,10.05,5.23,587.26,10.56,11.4,8.77,12.46,-3.8,14.76,-5.69,6.73,11.2,8.13,5.64,9.63,83.66,31.79,105951000000.0
6730,AXELL Corporation,Technology,122.67,3.61,9.98,,1.12,-13.75,4.26,14.64,-2.79,1.82,-12.84,5.32,15.37,-1.9,17.12,11.36,9.59,13.81,11.16,-3.86,-13.24,21.39,8.6,14.74,7.96,13.84,11.04,,32.13,5670000000.0
6731,Pixela Corporation,Technology,16.08,0.0,,,-64.02,-43.61,-66.02,-82.88,-57.88,-62.03,-40.74,-63.28,-77.11,-55.35,-4.86,-79.51,-72.79,-85.38,-61.75,-13.93,-19.85,-27.73,-93.97,-289.42,-424.17,-193.23,-95.26,36.33,27.66,575476000.0
6736,Sun Corporation,Technology,2232.47,0.52,23.52,,0.62,-0.9,1.0,-6.52,0.24,0.68,-0.75,1.12,-6.06,0.35,0.26,-0.15,0.01,3.11,-4.57,-8.58,7.88,-73.18,-0.03,-0.03,0.0,0.74,-4.67,94.6,27.89,2242194000.0
6737,EIZO Corporation,Technology,1200.45,3.81,16.89,,0.78,6.66,4.15,-7.96,3.86,4.64,9.62,6.59,-6.32,6.95,50.31,2.91,4.6,4.86,6.19,1.01,0.03,-0.47,1.15,1.34,2.09,2.0,2.95,97.01,31.86,20352000000.0
6740,Japan Display Inc.,Technology,1962.19,0.0,-9.64,,-11.87,-12.97,-8.96,-33.47,-11.27,-11.87,-12.97,-8.96,-33.47,-11.27,0.0,-14.13,-19.72,-14.28,-16.39,-29.62,-21.38,-11.67,-34.71,-67.0,-56.67,-28.99,-42.07,6.64,1.94,27755000000.0
6741,"Nippon Signal Co., Ltd.",Industrials,1097.1,3.2,9.46,,1.44,0.82,2.61,-0.82,1.62,7.18,5.27,6.17,1.56,6.21,74.03,10.26,9.27,6.93,5.98,6.75,8.45,15.31,6.34,6.93,5.92,3.92,3.23,99.96,25.39,10963000000.0
6742,"Kyosan Electric Manufacturing Co., Ltd.",Technology,619.08,2.65,12.32,,3.9,4.43,-11.03,-7.61,-0.9,5.48,6.05,-9.54,-4.71,0.66,13.32,4.84,7.16,3.54,3.05,9.08,21.05,-2.49,3.9,4.24,5.04,1.97,2.22,68.41,19.11,6938000000.0
6743,"Daido Signal Co., Ltd.",Industrials,142.07,3.57,9.04,,2.99,-12.33,5.52,-20.75,-1.27,6.46,-3.52,12.02,-18.16,4.99,-47.51,8.51,5.26,6.24,4.75,17.26,5.51,6.52,4.59,5.21,2.72,3.0,2.12,87.2,28.79,3968290000.0
6744,Nohmi Bosai Ltd.,Industrials,2360.4,2.93,17.3,,6.17,4.89,1.39,2.2,4.15,6.17,4.89,1.39,2.2,4.15,0.0,13.14,11.73,9.85,8.42,4.46,12.82,12.29,9.22,12.9,8.07,6.47,5.31,99.99,37.46,39542000000.0
6745,Hochiki Corporation,Industrials,1398.85,2.17,14.92,,6.18,7.07,-0.75,-1.34,4.17,7.6,8.49,0.55,0.3,5.55,90.03,11.4,9.47,7.89,6.54,4.91,7.93,9.39,13.14,21.96,11.98,10.17,8.94,,39.36,27966000000.0
6748,"Seiwa Electric Mfg. Co., Ltd.",Industrials,96.11,2.69,8.75,,17.59,4.21,1.83,41.82,7.88,21.92,10.21,5.51,46.8,12.55,48.42,6.49,7.03,4.38,6.59,0.68,6.12,1.41,5.14,6.06,5.3,3.42,5.29,59.83,23.94,3439056000.0
6750,"Elecom Co., Ltd.",Technology,1618.02,2.97,7.76,,3.17,8.48,4.06,1.49,5.24,6.1,10.73,5.98,5.66,7.6,33.69,11.75,11.47,11.24,10.9,11.97,7.11,6.21,11.66,33.52,11.67,10.52,9.83,99.55,39.63,70884000000.0
6752,Panasonic Holdings Corporation,Technology,97226.28,1.29,51.37,,-0.69,2.26,1.55,-0.46,1.04,8.19,8.92,5.36,2.6,7.49,84.71,2.61,4.81,4.2,3.43,-4.84,-0.45,1.4,2.54,2.98,5.38,6.63,5.27,78.2,31.39,967278000000.0
6753,Sharp Corporation,Technology,4470.48,0.0,9.43,,-7.54,-9.08,16.09,-9.45,-0.18,-0.04,-0.36,27.85,3.3,9.15,-6654.87,2.57,1.27,-0.88,-1.01,-12.38,-6.97,-8.88,5.18,7.77,2.71,-3.1,-3.08,39.68,22.23,238451000000.0
6754,Anritsu Corporation,Technology,3993.35,1.59,34.16,,3.16,4.34,3.2,0.23,3.57,4.48,5.28,4.15,1.53,4.64,23.35,12.63,10.73,8.17,10.59,3.97,2.75,-0.87,7.87,12.33,6.9,5.35,7.2,97.39,51.14,49324000000.0
6757,"OSG Corporation Co., Ltd.",Industrials,46.87,4.56,43.84,,-7.59,-3.59,6.18,3.32,-1.67,2.02,-0.02,9.54,6.52,3.85,-6839.31,2.54,1.69,3.93,4.89,3.22,0.43,-2.84,1.28,2.63,-2.98,-2.71,4.28,54.7,58.82,2245335000.0
6758,Sony Group Corporation,Technology,221302.26,0.96,20.33,,6.72,7.68,3.47,-1.35,5.96,8.79,10.49,6.21,1.42,8.5,31.46,12.45,10.64,8.99,11.6,3.7,6.88,2.6,12.58,16.65,8.79,6.78,9.65,82.43,30.81,2237046000000.0
6762,TDK Corporation,Technology,53461.51,1.42,27.33,,3.91,4.13,4.27,-0.24,4.1,9.5,8.34,8.36,4.92,8.73,52.75,10.88,10.17,8.22,7.74,13.61,4.8,-3.53,7.18,11.34,6.88,5.24,5.35,75.19,31.28,1002362000000.0
6763,"Teikoku Tsushin Kogyo Co., Ltd.",Industrials,250.79,4.77,19.81,,-5.27,3.71,9.33,3.06,2.59,7.71,7.24,11.66,6.52,8.87,79.0,6.71,9.9,6.22,9.71,2.78,10.29,-7.7,2.5,4.11,5.32,2.8,4.63,99.85,29.31,11227703000.0
6768,Tamura Corporation,Technology,640.6,1.98,19.59,,-4.26,8.85,10.03,-0.73,4.87,4.45,14.18,14.84,3.4,11.16,88.55,4.28,4.56,4.63,4.47,8.34,6.97,-1.27,-5.84,-7.29,4.06,3.16,4.25,63.66,24.94,18953000000.0
