証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
1444,"Nissou Co.,Ltd.",Consumer Cyclical,29.0,0.0,,,-2.74,1.54,3.46,,0.75,-2.35,2.34,4.57,,1.52,14.15,,1.21,3.56,6.28,,12.3,18.88,,,1.14,5.32,,59.94,24.77,1382734000.0
1446,"CANDEAL Co.,Ltd",Industrials,50.29,1.86,19.57,,7.14,7.08,11.02,8.46,8.41,8.32,7.51,11.84,9.3,9.22,9.0,3.03,2.72,3.67,2.99,4.81,7.43,9.24,4.73,7.74,3.29,5.18,2.33,68.42,36.17,1626858000.0
1447,"SAAF Holdings Co.,Ltd.",Technology,84.99,1.34,18.48,,17.81,-4.31,1.45,-5.04,4.98,24.35,3.59,6.73,4.35,11.56,108.44,3.7,1.16,2.44,2.42,2.51,-1.42,-4.12,4.45,6.26,-2.23,1.77,2.33,28.37,25.59,3437318000.0
1450,TANAKEN Inc.,Industrials,128.22,3.77,8.53,,-4.74,16.49,3.14,-2.12,4.96,-4.51,16.7,3.98,-1.73,5.39,5.76,14.75,18.95,15.06,13.88,20.63,15.08,-5.07,15.93,23.4,19.09,15.22,17.05,90.22,21.56,2979215000.0
145A,L is B corp.,Technology,45.92,0.0,24.04,,3.29,-0.78,-1.24,-4.59,0.42,3.88,0.61,-0.26,-3.43,1.41,-42.25,7.93,2.96,2.98,-27.2,33.79,24.54,31.87,5.16,12.18,1.38,4.7,-23.74,64.21,62.88,1779306000.0
146A,Columbia Works Inc.,Real Estate,272.52,2.73,5.47,,-21.15,-58.88,-10.7,-22.49,-30.24,-15.84,-52.65,-6.52,-21.06,-25.0,-36.43,16.26,18.55,18.79,19.89,76.75,45.01,31.38,6.15,7.01,4.98,5.97,5.58,23.49,23.34,7892000000.0
147A,"Soracom, Inc.",Technology,449.63,0.0,70.52,,2.85,-2.34,0.63,-0.8,0.38,3.92,-1.62,1.01,-0.5,1.1,6.82,7.01,7.3,9.17,1.61,38.15,13.42,25.87,7.0,30.61,4.68,6.58,1.07,94.48,49.45,9269384000.0
148A,"Hatch Work Co.,Ltd.",Industrials,32.48,0.0,19.81,,8.2,0.35,1.85,-6.11,3.47,9.09,0.65,2.22,-5.85,3.99,24.24,8.77,7.74,1.01,-23.65,16.55,15.13,24.78,16.04,,13.84,7.45,-41.07,74.33,59.11,1521074000.0
1491,"Chugai Mining Co., Ltd.",Basic Materials,100.44,4.82,6.65,,19.14,3.0,-0.89,-12.38,7.08,25.89,8.37,4.89,-11.17,13.05,69.47,0.87,0.87,0.32,0.94,73.51,42.71,34.11,12.4,23.94,12.74,3.62,10.06,65.99,1.8,6299962000.0
149A,"Thinca Co.,Ltd.",Technology,27.25,0.0,,,1.13,0.63,4.77,-7.14,2.18,2.91,3.73,5.38,-6.81,4.01,51.87,4.1,6.34,9.74,-19.65,18.84,18.46,35.39,3.76,33.85,2.41,27.07,-42.9,96.9,81.91,984502000.0
150A,"JSH Co.,Ltd.",Industrials,41.82,0.77,17.37,,-15.35,-12.13,4.43,1.26,-7.68,-0.94,3.29,7.16,5.37,3.17,-342.26,-2.24,4.44,5.99,5.55,19.49,13.93,17.33,-4.08,-5.78,6.08,8.14,12.6,65.99,29.99,884610000.0
1514,"Sumiseki Holdings,Inc.",Energy,379.88,2.37,14.39,,11.82,-0.49,49.41,0.08,20.25,11.99,0.07,49.43,0.14,20.5,270.98,3.09,0.47,-1.08,9.63,3.84,-28.8,-63.86,1.08,2.57,0.17,-0.56,16.47,,18.23,16924000000.0
1515,"Nittetsu Mining Co., Ltd.",Basic Materials,2620.11,1.86,18.67,,-9.68,0.85,0.97,3.2,-2.62,2.89,6.76,3.42,6.04,4.36,197.88,8.98,5.21,6.7,8.31,6.58,17.91,1.75,6.13,7.71,4.29,4.53,6.91,70.48,20.9,45009000000.0
1518,"Mitsui Matsushima Holdings Co., Ltd.",Energy,826.83,5.85,15.06,,4.0,1.21,24.05,30.84,9.75,6.96,5.53,25.75,31.69,12.75,42.43,14.62,12.58,32.49,44.73,8.08,-21.81,-3.18,6.2,6.55,5.78,22.72,35.19,52.89,38.32,5701000000.0
151A,Dive Group Inc.,Industrials,52.76,0.0,9.53,,1.22,-0.48,7.86,2.83,2.87,5.09,11.87,11.14,3.99,9.37,69.81,5.49,4.39,1.45,-2.11,11.47,49.57,106.16,20.3,88.62,14.34,10.5,-2.69,89.29,25.16,2065504000.0
153A,Caulis Inc.,Technology,104.65,0.34,34.48,,1.34,2.54,2.86,2.03,2.25,2.0,2.54,2.93,2.06,2.49,11.74,29.13,33.68,29.73,28.31,14.32,23.14,29.31,15.67,102.13,18.75,34.83,56.12,93.83,58.35,1487072000.0
155A,"Information Strategy and Technology Co.,Ltd.",Technology,84.89,0.0,21.63,,4.72,2.03,3.36,0.92,3.37,4.91,2.28,3.44,1.09,3.54,5.79,6.92,7.08,7.36,6.17,37.13,10.37,7.26,10.55,31.07,13.38,22.87,24.26,50.77,26.42,1987756000.0
156A,Material Group Inc.,Communication Services,82.06,3.1,13.51,,7.91,11.51,5.92,3.6,8.45,8.46,12.03,6.53,4.23,9.01,6.74,13.24,15.35,15.32,9.99,19.06,13.44,11.44,21.7,46.03,30.69,28.04,4.36,52.19,61.16,1261264000.0
157A,Green Monster Inc.,Technology,24.27,1.37,,,-1.04,4.71,10.34,-0.83,4.67,-0.28,6.95,10.53,-0.67,5.73,-77.3,6.16,11.8,9.63,3.78,2.52,14.37,22.52,3.59,17.92,10.2,16.45,6.51,78.98,35.38,1185144000.0
1605,Inpex Corporation,Energy,46256.36,2.85,10.75,,7.65,11.59,11.99,6.37,10.41,14.15,17.04,16.24,9.63,15.81,34.72,52.87,51.5,50.63,53.62,-11.23,4.68,-6.89,6.5,7.28,6.63,5.52,8.13,80.23,57.02,645800000000.0
160A,"As Partners CO.,LTD.",Industrials,69.52,4.16,5.92,,-9.29,-55.12,31.54,-26.81,-10.96,64.04,11.16,49.37,-10.72,41.52,248.23,6.44,7.28,4.7,1.57,32.05,4.47,34.17,7.34,10.02,6.87,6.54,1.63,33.79,18.03,4071656000.0
1662,"Japan Petroleum Exploration Co., Ltd.",Energy,4948.47,2.34,9.26,,14.9,8.07,4.92,13.83,9.3,20.81,26.43,18.3,21.13,21.85,57.0,11.43,15.94,16.95,18.45,-12.53,19.4,-3.16,5.43,5.98,8.96,9.04,11.92,91.52,22.55,57259000000.0
1663,K&O Energy Group Inc.,Utilities,1026.77,3.01,14.02,,7.51,7.75,4.55,6.05,6.6,15.5,13.48,11.52,11.85,13.5,51.54,11.6,9.54,10.04,6.88,-1.15,-4.03,-9.32,7.01,11.06,6.41,7.49,5.96,,23.85,38899000000.0
166A,TASUKI Holdings Inc.,Technology,662.26,3.76,11.75,,-10.95,-2.05,,,-6.5,-8.71,-2.04,,,-5.38,-13.28,11.85,8.57,,,56.8,,,7.69,11.52,4.94,,,31.06,19.88,26203066000.0
167A,"Ryoyo Ryosan Holdings, Inc.",Technology,1283.23,4.42,17.26,,-2.17,9.1,6.71,-2.19,4.55,-1.16,10.27,7.07,-1.99,5.39,-23.44,2.81,2.37,3.13,3.61,0.04,189.97,-4.48,3.66,4.55,3.63,4.2,4.65,72.89,10.45,35973000000.0
168A,Itamiarts.Inc,Communication Services,15.93,1.84,10.55,,-22.49,-47.25,-0.16,3.66,-23.3,35.55,17.77,14.86,9.66,22.73,210.08,4.55,7.53,6.2,4.55,32.05,15.85,24.17,3.62,4.36,5.62,6.26,4.35,27.77,35.99,727538000.0
1711,"SDS HOLDINGS Co.,Ltd.",Utilities,25.56,0.0,,,-43.28,-45.59,30.2,-46.28,-19.56,-3.49,-8.38,36.17,-28.08,8.1,-522.63,2.18,-0.36,0.62,-4.56,30.13,-2.43,21.57,-17.08,-17.94,-0.46,1.08,-3.96,12.87,15.59,234434000.0
1716,Dai-Ichi Cutter Kogyo k.k.,Industrials,154.78,6.59,9.68,,5.51,7.9,12.39,8.41,8.6,10.98,14.04,17.71,14.47,14.24,41.17,8.14,11.74,11.87,11.94,-3.3,-5.62,5.8,6.12,12.53,9.17,10.61,11.04,98.77,28.82,9929000000.0
1717,Meiho Facility Works Ltd.,Industrials,109.36,4.72,11.71,,11.57,-3.39,5.94,1.34,4.71,13.33,-1.95,6.76,1.92,6.05,-16.22,20.76,21.46,20.29,20.13,6.96,8.56,10.59,15.37,20.98,16.22,15.53,14.05,,54.1,1627191000.0
1718,"Mikikogyo Co., Ltd.",Industrials,76.17,1.41,4.93,,-35.15,5.94,-30.26,12.71,-19.82,-27.82,8.67,-28.3,15.73,-15.82,-0.61,7.15,4.16,4.09,3.58,32.46,-15.25,4.7,6.23,6.93,3.22,4.19,3.88,74.9,22.08,2794593000.0
1719,Hazama Ando Corporation,Industrials,2962.74,4.51,9.95,,8.75,2.38,-6.14,9.88,1.66,9.6,3.77,-3.75,10.89,3.21,-5.96,7.65,8.29,4.72,5.33,3.4,7.87,5.91,9.87,13.72,12.22,7.7,8.21,88.75,14.55,66170000000.0
1720,"Tokyu Construction Co., Ltd.",Industrials,1280.59,3.73,9.55,,2.3,30.09,-43.49,15.4,-3.7,5.4,32.17,-42.19,15.92,-1.54,20.28,4.78,3.02,2.85,1.77,16.39,2.61,-1.1,7.79,11.75,4.79,3.93,3.07,84.19,11.03,49618000000.0
