コード,銘柄名,市場・商品区分,__code
5261,リソルホールディングス,プライム（内国株式）,5261
5262,日本ヒューム,プライム（内国株式）,5262
5268,旭コンクリート工業,スタンダード（内国株式）,5268
5269,日本コンクリート工業,プライム（内国株式）,5269
5271,トーヨーアサノ,スタンダード（内国株式）,5271
5273,三谷セキサン,スタンダード（内国株式）,5273
5279,日本興業,スタンダード（内国株式）,5279
5280,ヨシコン,スタンダード（内国株式）,5280
5282,ジオスター,スタンダード（内国株式）,5282
5283,高見澤,スタンダード（内国株式）,5283
5284,ヤマウホールディングス,スタンダード（内国株式）,5284
5285,ヤマックス,スタンダード（内国株式）,5285
5287,イトーヨーギョー,スタンダード（内国株式）,5287
5288,アジアパイルホールディングス,プライム（内国株式）,5288
5290,ベルテクスコーポレーション,スタンダード（内国株式）,5290
5301,東海カーボン,プライム（内国株式）,5301
5302,日本カーボン,プライム（内国株式）,5302
5304,ＳＥＣカーボン,スタンダード（内国株式）,5304
5310,東洋炭素,プライム（内国株式）,5310
5331,ノリタケ,プライム（内国株式）,5331
5332,ＴＯＴＯ,プライム（内国株式）,5332
5333,ＮＧＫ,プライム（内国株式）,5333
5334,日本特殊陶業,プライム（内国株式）,5334
5337,ダントーホールディングス,スタンダード（内国株式）,5337
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,スタンダード（内国株式）,5341
5344,ＭＡＲＵＷＡ,プライム（内国株式）,5344
5351,品川リフラ,プライム（内国株式）,5351
5355,日本坩堝,スタンダード（内国株式）,5355
5356,美濃窯業,スタンダード（内国株式）,5356
5357,ヨータイ,プライム（内国株式）,5357
5363,東京窯業,スタンダード（内国株式）,5363
5367,ニッカトー,スタンダード（内国株式）,5367
5368,日本インシュレーション,スタンダード（内国株式）,5368
5380,新東,スタンダード（内国株式）,5380
5381,マイポックス,スタンダード（内国株式）,5381
5384,フジミインコーポレーテッド,プライム（内国株式）,5384
5388,クニミネ工業,スタンダード（内国株式）,5388
5391,エーアンドエーマテリアル,スタンダード（内国株式）,5391
5393,ニチアス,プライム（内国株式）,5393
5401,日本製鉄,プライム（内国株式）,5401
5406,神戸製鋼所,プライム（内国株式）,5406
5408,中山製鋼所,プライム（内国株式）,5408
5410,合同製鐵,プライム（内国株式）,5410
5411,ＪＦＥホールディングス,プライム（内国株式）,5411
5423,東京製鐵,プライム（内国株式）,5423
542A,ビタブリッドジャパン,グロース（内国株式）,542A
543A,ＡＲＣＨＩＯＮ,プライム（内国株式）,543A
5440,共英製鋼,プライム（内国株式）,5440
5444,大和工業,プライム（内国株式）,5444
5445,東京鐵鋼,プライム（内国株式）,5445
5446,北越メタル,スタンダード（内国株式）,5446
5449,大阪製鐵,スタンダード（内国株式）,5449
544A,ＧＭＳグループ,プライム（内国株式）,544A
5451,ヨドコウ,プライム（内国株式）,5451
5458,高砂鐵工,スタンダード（内国株式）,5458
545A,トランヴィア,プライム（内国株式）,545A
5461,中部鋼鈑,プライム（内国株式）,5461
5463,丸一鋼管,プライム（内国株式）,5463
5464,モリ工業,スタンダード（内国株式）,5464
546A,ＭＩＲＡＩＮＩホールディングス,プライム（内国株式）,546A
5471,大同特殊鋼,プライム（内国株式）,5471
547A,ムニノバホールディングス,プライム（内国株式）,547A
5480,日本冶金工業,プライム（内国株式）,5480
5482,愛知製鋼,プライム（内国株式）,5482
5484,東北特殊鋼,スタンダード（内国株式）,5484
548A,システムエグゼ,スタンダード（内国株式）,548A
5491,日本金属,スタンダード（内国株式）,5491
549A,ヒトトヒトホールディングス,スタンダード（内国株式）,549A
550A,ソフトテックス,スタンダード（内国株式）,550A
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,5527
5532,リアルゲイト,グロース（内国株式）,5532
5533,エリッツホールディングス,スタンダード（内国株式）,5533
5535,ミガロホールディングス,プライム（内国株式）,5535
5537,ＡｌｂａＬｉｎｋ,グロース（内国株式）,5537
5541,大平洋金属,プライム（内国株式）,5541
5542,新報国マテリアル,スタンダード（内国株式）,5542
554A,バトンズ,グロース（内国株式）,554A
5563,新日本電工,プライム（内国株式）,5563
556A,犬猫生活,グロース（内国株式）,556A
5570,ジェノバ,グロース（内国株式）,5570
5571,エキサイトホールディングス,スタンダード（内国株式）,5571
5572,Ｒｉｄｇｅ－ｉ,グロース（内国株式）,5572
5574,ＡＢＥＪＡ,グロース（内国株式）,5574
5575,Ｇｌｏｂｅｅ,グロース（内国株式）,5575
5576,オービーシステム,スタンダード（内国株式）,5576
5578,ＡＲアドバンストテクノロジ,グロース（内国株式）,5578
5580,プロディライト,グロース（内国株式）,5580
5582,グリッド,グロース（内国株式）,5582
5586,Ｌａｂｏｒｏ．ＡＩ,グロース（内国株式）,5586
5587,インバウンドプラットフォーム,グロース（内国株式）,5587
5588,ファーストアカウンティング,グロース（内国株式）,5588
5589,オートサーバー,スタンダード（内国株式）,5589
558A,ＳＱＵＥＥＺＥ,グロース（内国株式）,558A
5590,ネットスターズ,グロース（内国株式）,5590
5591,ＡＶＩＬＥＮ,グロース（内国株式）,5591
5592,くすりの窓口,グロース（内国株式）,5592
5597,ブルーイノベーション,グロース（内国株式）,5597
5599,Ｓ＆Ｊ,グロース（内国株式）,5599
559A,梅乃宿酒造,スタンダード（内国株式）,559A
5602,栗本鐵工所,プライム（内国株式）,5602
5603,虹技,スタンダード（内国株式）,5603
5609,日本鋳造,スタンダード（内国株式）,5609
5612,日本鋳鉄管,スタンダード（内国株式）,5612
5616,雨風太陽,グロース（内国株式）,5616
5618,ナイル,グロース（内国株式）,5618
5619,マーソ,グロース（内国株式）,5619
5621,ヒューマンテクノロジーズ,グロース（内国株式）,5621
5631,日本製鋼所,プライム（内国株式）,5631
5632,三菱製鋼,プライム（内国株式）,5632
5644,メタルアート,スタンダード（内国株式）,5644
5658,日亜鋼業,スタンダード（内国株式）,5658
5659,日本精線,プライム（内国株式）,5659
5695,パウダーテック,スタンダード（内国株式）,5695
5697,サンユウ,スタンダード（内国株式）,5697
5698,エンビプロ・ホールディングス,スタンダード（内国株式）,5698
5699,イボキン,スタンダード（内国株式）,5699
5702,大紀アルミニウム工業所,プライム（内国株式）,5702
5703,日本軽金属ホールディングス,プライム（内国株式）,5703
5704,ＪＭＣ,スタンダード（内国株式）,5704
5706,三井金属,プライム（内国株式）,5706
5707,東邦亜鉛,プライム（内国株式）,5707
5711,三菱マテリアル,プライム（内国株式）,5711
5713,住友金属鉱山,プライム（内国株式）,5713
5714,ＤＯＷＡホールディングス,プライム（内国株式）,5714
5715,古河機械金属,プライム（内国株式）,5715
5721,エスクリプトエナジー,スタンダード（内国株式）,5721
5724,アサカ理研,スタンダード（内国株式）,5724
5726,大阪チタニウムテクノロジーズ,プライム（内国株式）,5726
5729,日本精鉱,スタンダード（内国株式）,5729
5741,ＵＡＣＪ,プライム（内国株式）,5741
5742,エヌアイシ・オートテック,スタンダード（内国株式）,5742
5753,日本伸銅,スタンダード（内国株式）,5753
5757,ＣＫサンエツ,プライム（内国株式）,5757
575A,前澤ホールディングス,プライム（内国株式）,575A
5801,古河電気工業,プライム（内国株式）,5801
5802,住友電気工業,プライム（内国株式）,5802
5803,フジクラ,プライム（内国株式）,5803
5805,ＳＷＣＣ,プライム（内国株式）,5805
5816,オーナンバ,スタンダード（内国株式）,5816
5817,ＪＭＡＣＳ,スタンダード（内国株式）,5817
5819,カナレ電気,スタンダード（内国株式）,5819
581A,ＧＯ,グロース（内国株式）,581A
5820,三ッ星,スタンダード（内国株式）,5820
5821,平河ヒューテック,プライム（内国株式）,5821
5830,いよぎんホールディングス,プライム（内国株式）,5830
5831,しずおかフィナンシャルグループ,プライム（内国株式）,5831
5832,ちゅうぎんフィナンシャルグループ,プライム（内国株式）,5832
5834,ＳＢＩリーシングサービス,グロース（内国株式）,5834
5838,楽天銀行,プライム（内国株式）,5838
5842,インテグラル,グロース（内国株式）,5842
5843,ニッポンインシュア,スタンダード（内国株式）,5843
5844,京都フィナンシャルグループ,プライム（内国株式）,5844
5845,全保連,スタンダード（内国株式）,5845
584A,ＬｉＮＫＸ,グロース（内国株式）,584A
5851,リョービ,プライム（内国株式）,5851
5852,アーレスティ,プライム（内国株式）,5852
5857,ＡＲＥホールディングス,プライム（内国株式）,5857
5858,ＳＴＧ,グロース（内国株式）,5858
5867,エスネットワークス,グロース（内国株式）,5867
5868,ロココ,スタンダード（内国株式）,5868
5869,早稲田学習研究会,スタンダード（内国株式）,5869
5870,ナルネットコミュニケーションズ,グロース（内国株式）,5870
5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,5871
5884,クラダシ,グロース（内国株式）,5884
5885,ジーデップ・アドバンス,スタンダード（内国株式）,5885
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,グロース（内国株式）,5888
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,5889
5891,ＳＡＫＩＧＡＫＥホールディングス,スタンダード（内国株式）,5891
5892,ｙｕｔｏｒｉ,グロース（内国株式）,5892
589A,ネイス,グロース（内国株式）,589A
5900,ダイケン,スタンダード（内国株式）,5900
5901,東洋製罐グループホールディングス,プライム（内国株式）,5901
5902,ホッカンホールディングス,プライム（内国株式）,5902
5905,日本製罐,スタンダード（内国株式）,5905
5906,エムケー精工,スタンダード（内国株式）,5906
5909,コロナ,スタンダード（内国株式）,5909
590A,ギフティグループ,プライム（内国株式）,590A
5911,横河ブリッジホールディングス,プライム（内国株式）,5911
5915,駒井ハルテック,スタンダード（内国株式）,5915
5918,瀧上工業,スタンダード（内国株式）,5918
5921,川岸工業,スタンダード（内国株式）,5921
5922,那須電機鉄工,スタンダード（内国株式）,5922
5923,高田機工,スタンダード（内国株式）,5923
5928,アルメタックス,スタンダード（内国株式）,5928
5929,三和ホールディングス,プライム（内国株式）,5929
5930,文化シヤッター,プライム（内国株式）,5930
5932,三協立山,プライム（内国株式）,5932
5933,アルインコ,プライム（内国株式）,5933
5936,東洋シヤッター,スタンダード（内国株式）,5936
5938,ＬＩＸＩＬ,プライム（内国株式）,5938
5939,大谷工業,スタンダード（内国株式）,5939
593A,ティアフォー,グロース（内国株式）,593A
5940,不二サッシ,スタンダード（内国株式）,5940
5941,中西製作所,スタンダード（内国株式）,5941
5942,日本フイルコン,スタンダード（内国株式）,5942
5943,ノーリツ,プライム（内国株式）,5943
5945,天龍製鋸,スタンダード（内国株式）,5945
5946,長府製作所,プライム（内国株式）,5946
5947,リンナイ,プライム（内国株式）,5947
5949,ユニプレス,プライム（内国株式）,5949
5950,日本パワーファスニング,スタンダード（内国株式）,5950
5951,ダイニチ工業,スタンダード（内国株式）,5951
5952,アマテイ,スタンダード（内国株式）,5952
5955,ワイズホールディングス,スタンダード（内国株式）,5955
5956,トーソー,スタンダード（内国株式）,5956
5957,日東精工,プライム（内国株式）,5957
5958,三洋工業,スタンダード（内国株式）,5958
5959,岡部,プライム（内国株式）,5959
5962,浅香工業,スタンダード（内国株式）,5962
5965,フジマック,スタンダード（内国株式）,5965
5966,京都機械工具,スタンダード（内国株式）,5966
5967,ＴＯＮＥ,スタンダード（内国株式）,5967
5969,ロブテックス,スタンダード（内国株式）,5969
5970,ジーテクト,プライム（内国株式）,5970
5971,共和工業所,スタンダード（内国株式）,5971
5973,トーアミ,スタンダード（内国株式）,5973
5974,中国工業,スタンダード（内国株式）,5974
5975,東プレ,プライム（内国株式）,5975
5976,高周波熱錬,プライム（内国株式）,5976
5981,東京製綱,プライム（内国株式）,5981
5982,マルゼン,スタンダード（内国株式）,5982
5983,イワブチ,スタンダード（内国株式）,5983
5984,兼房,スタンダード（内国株式）,5984
5985,サンコール,スタンダード（内国株式）,5985
5986,モリテック　スチール,スタンダード（内国株式）,5986
5987,オーネックス,スタンダード（内国株式）,5987
5988,パイオラックス,プライム（内国株式）,5988
5989,エイチワン,プライム（内国株式）,5989
598A,チャットプラス,グロース（内国株式）,598A
5990,スーパーツール,スタンダード（内国株式）,5990
5991,日本発條,プライム（内国株式）,5991
5992,中央発條,スタンダード（内国株式）,5992
5994,ファインシンター,スタンダード（内国株式）,5994
5997,協立エアテック,スタンダード（内国株式）,5997
5998,アドバネクス,スタンダード（内国株式）,5998
6005,三浦工業,プライム（内国株式）,6005
6013,タクマ,プライム（内国株式）,6013
6016,ジャパンエンジンコーポレーション,スタンダード（内国株式）,6016
6018,阪神内燃機工業,スタンダード（内国株式）,6018
6022,赤阪鐵工所,スタンダード（内国株式）,6022
6023,ダイハツインフィニアース,スタンダード（内国株式）,6023
6027,弁護士ドットコム,プライム（内国株式）,6027
6029,アトラグループ,スタンダード（内国株式）,6029
6030,アドベンチャー,グロース（内国株式）,6030
6031,ＺＥＴＡ,グロース（内国株式）,6031
6033,エクストリーム,グロース（内国株式）,6033
6034,ＭＲＴ,グロース（内国株式）,6034
6035,アイ・アールジャパンホールディングス,スタンダード（内国株式）,6035
6036,ＫｅｅＰｅｒ技研,プライム（内国株式）,6036
6037,楽待,スタンダード（内国株式）,6037
6038,イード,グロース（内国株式）,6038
6039,日本動物高度医療センター,グロース（内国株式）,6039
603A,アイ・グリッド・ソリューションズ,グロース（内国株式）,603A
6040,日本スキー場開発,グロース（内国株式）,6040
6042,ニッキ,スタンダード（内国株式）,6042
6044,三機サービス,スタンダード（内国株式）,6044
6045,レントラックス,グロース（内国株式）,6045
6046,リンクバル,スタンダード（内国株式）,6046
6047,Ｇｕｎｏｓｙ,スタンダード（内国株式）,6047
6049,イトクロ,グロース（内国株式）,6049
604A,ビーエイブル,スタンダード（内国株式）,604A
6050,イー・ガーディアン,プライム（内国株式）,6050
6054,リブセンス,スタンダード（内国株式）,6054
6055,ジャパンマテリアル,プライム（内国株式）,6055
6058,ベクトル,プライム（内国株式）,6058
6059,ウチヤマホールディングス,スタンダード（内国株式）,6059
6061,ユニバーサル園芸社,スタンダード（内国株式）,6061
6062,チャーム・ケア・コーポレーション,プライム（内国株式）,6062
6063,日本エマージェンシーアシスタンス,スタンダード（内国株式）,6063
6069,トレンダーズ,グロース（内国株式）,6069
6070,キャリアリンク,プライム（内国株式）,6070
6071,ＩＢＪ,プライム（内国株式）,6071
6072,地盤ネットホールディングス,スタンダード（内国株式）,6072
6073,アサンテ,プライム（内国株式）,6073
6074,ジェイエスエス,スタンダード（内国株式）,6074
6078,バリューＨＲ,プライム（内国株式）,6078
607A,エブリー,グロース（内国株式）,607A
6080,Ｍ＆Ａキャピタルパートナーズ,プライム（内国株式）,6080
6081,アライドアーキテクツ,グロース（内国株式）,6081
6082,ライドオンエクスプレスホールディングス,スタンダード（内国株式）,6082
6083,ＥＲＩホールディングス,スタンダード（内国株式）,6083
6085,アーキテクツ・スタジオ・ジャパン,グロース（内国株式）,6085
6086,シンメンテホールディングス,グロース（内国株式）,6086
6087,アビスト,スタンダード（内国株式）,6087
6088,シグマクシス・ホールディングス,プライム（内国株式）,6088
6089,ウィルグループ,プライム（内国株式）,6089
6090,ヒューマン・メタボローム・テクノロジーズ,スタンダード（内国株式）,6090
6091,ウエスコホールディングス,スタンダード（内国株式）,6091
6092,エンバイオ・ホールディングス,スタンダード（内国株式）,6092
6093,ミトラグループ,スタンダード（内国株式）,6093
6094,フリークアウト・ホールディングス,グロース（内国株式）,6094
6098,リクルートホールディングス,プライム（内国株式）,6098
6099,エラン,プライム（内国株式）,6099
6101,ツガミ,プライム（内国株式）,6101
6103,オークマ,プライム（内国株式）,6103
6104,芝浦機械,プライム（内国株式）,6104
6113,アマダ,プライム（内国株式）,6113
6118,アイダエンジニアリング,プライム（内国株式）,6118
6125,岡本工作機械製作所,スタンダード（内国株式）,6125
6134,ＦＵＪＩ,プライム（内国株式）,6134
6135,牧野フライス製作所,プライム（内国株式）,6135
6136,オーエスジー,プライム（内国株式）,6136
6137,小池酸素工業,スタンダード（内国株式）,6137
6138,ダイジェット工業,スタンダード（内国株式）,6138
6140,旭ダイヤモンド工業,プライム（内国株式）,6140
6141,ＤＭＧ森精機,プライム（内国株式）,6141
6143,ソディック,プライム（内国株式）,6143
6144,西部電機,スタンダード（内国株式）,6144
6145,ＮＩＴＴＯＫＵ,スタンダード（内国株式）,6145
6146,ディスコ,プライム（内国株式）,6146
6147,ヤマザキ,スタンダード（内国株式）,6147
6149,小田原エンジニアリング,スタンダード（内国株式）,6149
6150,タケダ機械,スタンダード（内国株式）,6150
6151,日東工器,プライム（内国株式）,6151
6155,高松機械工業,スタンダード（内国株式）,6155
6156,エーワン精密,スタンダード（内国株式）,6156
6157,日進工具,スタンダード（内国株式）,6157
6158,和井田製作所,スタンダード（内国株式）,6158
6159,ミクロン精密,スタンダード（内国株式）,6159
6161,エスティック,スタンダード（内国株式）,6161
6165,パンチ工業,スタンダード（内国株式）,6165
6166,中村超硬,グロース（内国株式）,6166
6167,冨士ダイス,プライム（内国株式）,6167
6171,土木管理総合試験所,スタンダード（内国株式）,6171
6176,ブランジスタ,スタンダード（内国株式）,6176
6177,ＡｐｐＢａｎｋ,グロース（内国株式）,6177
6178,日本郵政,プライム（内国株式）,6178
6180,ＧＭＯメディア,グロース（内国株式）,6180
6181,タメニー,グロース（内国株式）,6181
6182,メタリアル,グロース（内国株式）,6182
6183,ベルシステム２４ホールディングス,プライム（内国株式）,6183
6184,鎌倉新書,プライム（内国株式）,6184
6185,ＳＭＮ,スタンダード（内国株式）,6185
6186,一蔵,スタンダード（内国株式）,6186
6189,グローバルキッズＣＯＭＰＡＮＹ,スタンダード（内国株式）,6189
6190,フェニックスバイオ,グロース（内国株式）,6190
6191,エアトリ,プライム（内国株式）,6191
6193,バーチャレクス・ホールディングス,グロース（内国株式）,6193
6194,アトラエ,プライム（内国株式）,6194
6195,ホープ,グロース（内国株式）,6195
6196,ストライクグループ,プライム（内国株式）,6196
6198,キャリア,グロース（内国株式）,6198
6199,セラク,スタンダード（内国株式）,6199
6200,インソース,プライム（内国株式）,6200
6203,豊和工業,スタンダード（内国株式）,6203
6208,石川製作所,スタンダード（内国株式）,6208
6209,リケンＮＰＲ,プライム（内国株式）,6209
6217,津田駒工業,スタンダード（内国株式）,6217
6218,エンシュウ,スタンダード（内国株式）,6218
6222,島精機製作所,プライム（内国株式）,6222
6223,西部技研,スタンダード（内国株式）,6223
6224,ＪＲＣ,グロース（内国株式）,6224
6226,守谷輸送機工業,スタンダード（内国株式）,6226
6227,ＡＩメカテック,スタンダード（内国株式）,6227
6228,ジェイ・イー・ティ,スタンダード（内国株式）,6228
6229,オーケーエム,スタンダード（内国株式）,6229
6230,ＳＡＮＥＩ,スタンダード（内国株式）,6230
6231,木村工機,スタンダード（内国株式）,6231
6232,ＡＣＳＬ,グロース（内国株式）,6232
6233,ＫＬＡＳＳ,スタンダード（内国株式）,6233
6235,オプトラン,プライム（内国株式）,6235
6237,イワキポンプ,プライム（内国株式）,6237
6238,フリュー,プライム（内国株式）,6238
6239,ナガオカ,スタンダード（内国株式）,6239
6240,ヤマシンフィルタ,プライム（内国株式）,6240
6245,ヒラノテクシード,スタンダード（内国株式）,6245
6246,テクノスマート,スタンダード（内国株式）,6246
6247,日阪製作所,プライム（内国株式）,6247
6248,横田製作所,スタンダード（内国株式）,6248
6249,ゲームカードホールディングス,スタンダード（内国株式）,6249
6250,やまびこ,プライム（内国株式）,6250
6254,野村マイクロ・サイエンス,プライム（内国株式）,6254
6255,エヌ・ピー・シー,グロース（内国株式）,6255
6257,藤商事,スタンダード（内国株式）,6257
6258,平田機工,プライム（内国株式）,6258
6262,ＰＥＧＡＳＵＳ,スタンダード（内国株式）,6262
6264,マルマエ,プライム（内国株式）,6264
6265,コンバム,スタンダード（内国株式）,6265
6266,タツモ,プライム（内国株式）,6266
6267,ゼネラルパッカー,スタンダード（内国株式）,6267
6268,ナブテスコ,プライム（内国株式）,6268
6269,三井海洋開発,プライム（内国株式）,6269
6272,レオン自動機,プライム（内国株式）,6272
6273,ＳＭＣ,プライム（内国株式）,6273
6276,シリウスビジョン,スタンダード（内国株式）,6276
6277,ホソカワミクロン,プライム（内国株式）,6277
6278,ユニオンツール,プライム（内国株式）,6278
6279,瑞光,プライム（内国株式）,6279
6282,オイレス工業,プライム（内国株式）,6282
6284,日精エー・エス・ビー機械,プライム（内国株式）,6284
6286,靜甲,スタンダード（内国株式）,6286
6287,サトー,プライム（内国株式）,6287
6289,技研製作所,プライム（内国株式）,6289
6291,日本エアーテック,スタンダード（内国株式）,6291
6292,カワタ,スタンダード（内国株式）,6292
6294,オカダアイヨン,プライム（内国株式）,6294
6298,ワイエイシイホールディングス,プライム（内国株式）,6298
6301,小松製作所,プライム（内国株式）,6301
6302,住友重機械工業,プライム（内国株式）,6302
6305,日立建機,プライム（内国株式）,6305
6306,日工,プライム（内国株式）,6306
6307,サンセイ,スタンダード（内国株式）,6307
6309,巴工業,プライム（内国株式）,6309
6310,井関農機,プライム（内国株式）,6310
6315,ＴＯＷＡ,プライム（内国株式）,6315
6316,丸山製作所,スタンダード（内国株式）,6316
6317,北川鉄工所,スタンダード（内国株式）,6317
6322,タクミナ,スタンダード（内国株式）,6322
6323,ローツェ,プライム（内国株式）,6323
6324,ハーモニック・ドライブ・システムズ,プライム（内国株式）,6324
6325,タカキタ,スタンダード（内国株式）,6325
6326,クボタ,プライム（内国株式）,6326
6327,北川精機,スタンダード（内国株式）,6327
6328,荏原実業,プライム（内国株式）,6328
6330,東洋エンジニアリング,プライム（内国株式）,6330
6331,三菱化工機,プライム（内国株式）,6331
6332,月島ホールディングス,プライム（内国株式）,6332
6333,ＴＥＩＫＯＫＵ,プライム（内国株式）,6333
6334,明治機械,スタンダード（内国株式）,6334
6335,東京機械製作所,スタンダード（内国株式）,6335
6336,石井表記,スタンダード（内国株式）,6336
6337,テセック,スタンダード（内国株式）,6337
6338,タカトリ,スタンダード（内国株式）,6338
6339,新東工業,プライム（内国株式）,6339
6340,澁谷工業,プライム（内国株式）,6340
6342,太平製作所,スタンダード（内国株式）,6342
6343,フリージア・マクロス,スタンダード（内国株式）,6343
6345,アイチ　コーポレーション,プライム（内国株式）,6345
6346,キクカワエンタープライズ,スタンダード（内国株式）,6346
6347,プラコー,スタンダード（内国株式）,6347
6349,小森コーポレーション,プライム（内国株式）,6349
6351,鶴見製作所,プライム（内国株式）,6351
6356,日本ギア工業,スタンダード（内国株式）,6356
6357,三精テクノロジーズ,スタンダード（内国株式）,6357
6358,酒井重工業,プライム（内国株式）,6358
6360,東京自働機械製作所,スタンダード（内国株式）,6360
6361,荏原製作所,プライム（内国株式）,6361
6363,酉島製作所,プライム（内国株式）,6363
6364,ＡＩＲＭＡＮ,プライム（内国株式）,6364
6365,電業社機械製作所,スタンダード（内国株式）,6365
6366,千代田化工建設,スタンダード（内国株式）,6366
6367,ダイキン工業,プライム（内国株式）,6367
6368,オルガノ,プライム（内国株式）,6368
6369,トーヨーカネツ,プライム（内国株式）,6369
6370,栗田工業,プライム（内国株式）,6370
6371,椿本チエイン,プライム（内国株式）,6371
6376,日機装,プライム（内国株式）,6376
6378,木村化工機,スタンダード（内国株式）,6378
6379,レイズネクスト,プライム（内国株式）,6379
6380,オリエンタルチエン工業,スタンダード（内国株式）,6380
6381,アネスト岩田,プライム（内国株式）,6381
6382,トリニティ工業,スタンダード（内国株式）,6382
6383,ダイフク,プライム（内国株式）,6383
6384,昭和真空,スタンダード（内国株式）,6384
6387,サムコ,プライム（内国株式）,6387
6390,加藤製作所,プライム（内国株式）,6390
6391,加地テック,スタンダード（内国株式）,6391
6392,ヤマダコーポレーション,スタンダード（内国株式）,6392
6393,油研工業,スタンダード（内国株式）,6393
6395,タダノ,プライム（内国株式）,6395
6396,宇野澤組鐵工所,スタンダード（内国株式）,6396
6400,不二精機,スタンダード（内国株式）,6400
6402,兼松エンジニアリング,スタンダード（内国株式）,6402
6405,鈴茂器工,スタンダード（内国株式）,6405
6407,ＣＫＤ,プライム（内国株式）,6407
6408,小倉クラッチ,スタンダード（内国株式）,6408
6412,平和,プライム（内国株式）,6412
6413,理想科学工業,プライム（内国株式）,6413
6417,ＳＡＮＫＹＯ,プライム（内国株式）,6417
6418,日本金銭機械,プライム（内国株式）,6418
6419,マースグループホールディングス,プライム（内国株式）,6419
6420,ガリレイホールディングス,プライム（内国株式）,6420
6424,高見沢サイバネティックス,スタンダード（内国株式）,6424
6425,ユニバーサルエンターテインメント,スタンダード（内国株式）,6425
6428,オーイズミ,スタンダード（内国株式）,6428
6430,ダイコク電機,プライム（内国株式）,6430
6432,竹内製作所,プライム（内国株式）,6432
6433,ヒーハイスト,スタンダード（内国株式）,6433
6436,アマノ,プライム（内国株式）,6436
6440,ＪＵＫＩ,プライム（内国株式）,6440
6444,サンデン,スタンダード（内国株式）,6444
6445,ジャノメ,プライム（内国株式）,6445
6448,ブラザー工業,プライム（内国株式）,6448
6454,マックス,プライム（内国株式）,6454
6455,モリタホールディングス,プライム（内国株式）,6455
6457,グローリー,プライム（内国株式）,6457
6458,新晃工業,プライム（内国株式）,6458
6459,だいわ,プライム（内国株式）,6459
6460,セガサミーホールディングス,プライム（内国株式）,6460
6463,ＴＰＲ,プライム（内国株式）,6463
6464,ツバキ・ナカシマ,プライム（内国株式）,6464
6465,ホシザキ,プライム（内国株式）,6465
6466,ＴＶＥ,スタンダード（内国株式）,6466
6467,ニチダイ,スタンダード（内国株式）,6467
6469,放電精密加工研究所,スタンダード（内国株式）,6469
6470,大豊工業,スタンダード（内国株式）,6470
6471,日本精工,プライム（内国株式）,6471
6472,ＮＴＮ,プライム（内国株式）,6472
6473,ジェイテクト,プライム（内国株式）,6473
6474,不二越,プライム（内国株式）,6474
6479,ミネベアミツミ,プライム（内国株式）,6479
6480,日本トムソン,プライム（内国株式）,6480
6481,ＴＨＫ,プライム（内国株式）,6481
6482,ＹＵＳＨＩＮ,スタンダード（内国株式）,6482
6484,ＫＶＫ,スタンダード（内国株式）,6484
6485,前澤給装工業,スタンダード（内国株式）,6485
6486,イーグル工業,プライム（内国株式）,6486
6488,ヨシタケ,スタンダード（内国株式）,6488
6490,ＰＩＬＬＡＲ,プライム（内国株式）,6490
6492,岡野バルブ製造,スタンダード（内国株式）,6492
6493,ＮＩＴＴＡＮ,スタンダード（内国株式）,6493
6494,ＮＦＫホールディングス,スタンダード（内国株式）,6494
6495,宮入バルブ製作所,スタンダード（内国株式）,6495
6496,中北製作所,スタンダード（内国株式）,6496
6497,ハマイ,スタンダード（内国株式）,6497
6498,キッツ,プライム（内国株式）,6498
6501,日立製作所,プライム（内国株式）,6501
6503,三菱電機,プライム（内国株式）,6503
6504,富士電機,プライム（内国株式）,6504
6505,東洋電機製造,スタンダード（内国株式）,6505
6506,安川電機,プライム（内国株式）,6506
6507,シンフォニアテクノロジー,プライム（内国株式）,6507
6508,明電舎,プライム（内国株式）,6508
6513,オリジン,スタンダード（内国株式）,6513
6516,山洋電気,プライム（内国株式）,6516
6517,デンヨー,プライム（内国株式）,6517
6518,三相電機,スタンダード（内国株式）,6518
6521,オキサイド,グロース（内国株式）,6521
6522,アスタリスク,グロース（内国株式）,6522
6523,ＰＨＣホールディングス,プライム（内国株式）,6523
6524,湖北工業,スタンダード（内国株式）,6524
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム（内国株式）,6525
6526,ソシオネクスト,プライム（内国株式）,6526
6532,ベイカレント,プライム（内国株式）,6532
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,6533
6535,アイモバイル,プライム（内国株式）,6535
6537,ＷＡＳＨハウス,グロース（内国株式）,6537
6538,ディスラプターズ,スタンダード（内国株式）,6538
6539,ＭＳ－Ｊａｐａｎ,プライム（内国株式）,6539
6540,船場,スタンダード（内国株式）,6540
