コード,銘柄名,市場・商品区分,__code
2109,ＤＭ三井製糖,プライム（内国株式）,2109
2112,塩水港精糖,スタンダード（内国株式）,2112
2114,フジ日本,スタンダード（内国株式）,2114
2117,ウェルネオシュガー,プライム（内国株式）,2117
211A,カドス・コーポレーション,スタンダード（内国株式）,211A
2120,ＬＩＦＵＬＬ,プライム（内国株式）,2120
2121,ＭＩＸＩ,プライム（内国株式）,2121
2122,インタースペース,スタンダード（内国株式）,2122
2124,ジェイエイシーリクルートメント,プライム（内国株式）,2124
2127,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,2127
212A,フィットイージー,プライム（内国株式）,212A
2130,メンバーズ,プライム（内国株式）,2130
2134,北浜キャピタルパートナーズ,スタンダード（内国株式）,2134
2136,ヒップ,スタンダード（内国株式）,2136
2138,クルーズ,スタンダード（内国株式）,2138
2139,中広,スタンダード（内国株式）,2139
2146,ＵＴグループ,プライム（内国株式）,2146
2148,アイティメディア,プライム（内国株式）,2148
2152,幼児活動研究会,スタンダード（内国株式）,2152
2153,Ｅ・Ｊホールディングス,プライム（内国株式）,2153
2154,オープンアップグループ,プライム（内国株式）,2154
2156,セーラー広告,スタンダード（内国株式）,2156
2157,コシダカホールディングス,プライム（内国株式）,2157
2158,ＦＲＯＮＴＥＯ,グロース（内国株式）,2158
215A,タイミー,グロース（内国株式）,215A
2160,ジーエヌアイグループ,グロース（内国株式）,2160
2163,アルトナー,プライム（内国株式）,2163
2164,地域新聞社,スタンダード（内国株式）,2164
2168,パソナグループ,プライム（内国株式）,2168
2169,ＣＤＳ,スタンダード（内国株式）,2169
2170,リンクアンドモチベーション,プライム（内国株式）,2170
2173,博展,グロース（内国株式）,2173
2175,エス・エム・エス,プライム（内国株式）,2175
2179,成学社,スタンダード（内国株式）,2179
2180,サニーサイドアップグループ,スタンダード（内国株式）,2180
2181,パーソルホールディングス,プライム（内国株式）,2181
2183,リニカル,スタンダード（内国株式）,2183
2185,シイエム・シイ,スタンダード（内国株式）,2185
2186,ソーバル,スタンダード（内国株式）,2186
218A,Ｌｉｂｅｒａｗａｒｅ,グロース（内国株式）,218A
2193,クックパッド,スタンダード（内国株式）,2193
2195,アミタホールディングス,グロース（内国株式）,2195
2198,アイ・ケイ・ケイホールディングス,プライム（内国株式）,2198
219A,Ｈｅａｒｔｓｅｅｄ,グロース（内国株式）,219A
2201,森永製菓,プライム（内国株式）,2201
2204,中村屋,スタンダード（内国株式）,2204
2206,江崎グリコ,プライム（内国株式）,2206
2207,ｍｅｉｔｏ,プライム（内国株式）,2207
2208,ブルボン,スタンダード（内国株式）,2208
2209,井村屋グループ,プライム（内国株式）,2209
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,スタンダード（内国株式）,220A
2211,不二家,プライム（内国株式）,2211
2212,山崎製パン,プライム（内国株式）,2212
2215,第一屋製パン,スタンダード（内国株式）,2215
2216,カンロ,スタンダード（内国株式）,2216
2217,モロゾフ,プライム（内国株式）,2217
2220,亀田製菓,プライム（内国株式）,2220
2221,岩塚製菓,スタンダード（内国株式）,2221
2222,寿スピリッツ,プライム（内国株式）,2222
2224,コモ,スタンダード（内国株式）,2224
2226,湖池屋,スタンダード（内国株式）,2226
2229,カルビー,プライム（内国株式）,2229
2264,森永乳業,プライム（内国株式）,2264
2266,六甲バター,プライム（内国株式）,2266
2267,ヤクルト本社,プライム（内国株式）,2267
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,2268
2269,明治ホールディングス,プライム（内国株式）,2269
2270,雪印メグミルク,プライム（内国株式）,2270
2281,プリマハム,プライム（内国株式）,2281
2282,日本ハム,プライム（内国株式）,2282
2286,林兼産業,スタンダード（内国株式）,2286
2288,丸大食品,プライム（内国株式）,2288
228A,オプロ,グロース（内国株式）,228A
2291,福留ハム,スタンダード（内国株式）,2291
2292,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,2292
2293,滝沢ハム,スタンダード（内国株式）,2293
2294,柿安本店,プライム（内国株式）,2294
2296,伊藤ハム米久ホールディングス,プライム（内国株式）,2296
2300,きょくとう,スタンダード（内国株式）,2300
2301,学情,プライム（内国株式）,2301
2303,ドーン,スタンダード（内国株式）,2303
2304,ＣＳＳホールディングス,スタンダード（内国株式）,2304
2305,スタジオアリス,スタンダード（内国株式）,2305
2307,クロスキャット,プライム（内国株式）,2307
2311,エプコ,スタンダード（内国株式）,2311
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,2315
2317,システナ,プライム（内国株式）,2317
2321,ソフトフロントホールディングス,グロース（内国株式）,2321
2323,ｆｏｎｆｕｎ,スタンダード（内国株式）,2323
2325,ＮＪＳ,プライム（内国株式）,2325
2326,デジタルアーツ,プライム（内国株式）,2326
2327,日鉄ソリューションズ,プライム（内国株式）,2327
2329,東北新社,スタンダード（内国株式）,2329
2330,フォーサイド,スタンダード（内国株式）,2330
2331,ＡＬＳＯＫ,プライム（内国株式）,2331
2332,クエスト,スタンダード（内国株式）,2332
2334,イオレ,グロース（内国株式）,2334
2335,キューブシステム,プライム（内国株式）,2335
2337,いちご,プライム（内国株式）,2337
2338,クオンタムソリューションズ,スタンダード（内国株式）,2338
2340,極楽湯ホールディングス,スタンダード（内国株式）,2340
2341,アルバイトタイムス,スタンダード（内国株式）,2341
2342,トランスジェニックグループ,スタンダード（内国株式）,2342
2345,ＨＯＤＬ１,スタンダード（内国株式）,2345
2349,エヌアイデイ,スタンダード（内国株式）,2349
2351,ＡＳＪ,スタンダード（内国株式）,2351
2353,日本駐車場開発,プライム（内国株式）,2353
